Geracoes,Tamanho da Populacao,Dimensoes,Fator Cognitivo,Fator Social,Fator de Diversificacao,Melhor Aptidao,Geracao Encontrada,Aptidao Media
200,200,3,1.5,1,0.4,0.108807,77,3.45118
200,200,3,1.5,1,0.7,0.145255,179,4.73467
200,200,3,1.5,1,0.9,0.186417,181,5.4455
200,200,3,1.5,1.5,0.4,0.0296718,170,2.99992
200,200,3,1.5,1.5,0.7,0.0266856,115,4.05354
200,200,3,1.5,1.5,0.9,0.0830194,93,4.54376
200,200,3,1.5,2,0.4,0.0263155,176,3.18327
200,200,3,1.5,2,0.7,0.0328678,196,4.10654
200,200,3,1.5,2,0.9,0.0351807,140,4.49738
200,200,3,1.5,2.5,0.4,0.0623052,113,3.55154
200,200,3,1.5,2.5,0.7,0.0313383,148,4.24975
200,200,3,1.5,2.5,0.9,0.111376,82,4.77782
200,200,3,1.5,3.5,0.4,0.102119,167,4.40617
200,200,3,1.5,3.5,0.7,0.0686232,1,4.73783
200,200,3,1.5,3.5,0.9,0.0781173,191,4.99313
200,200,3,2,1,0.4,0.0468211,198,3.21197
200,200,3,2,1,0.7,0.0516248,101,4.1613
200,200,3,2,1,0.9,0.0576459,52,4.89271
200,200,3,2,1.5,0.4,0.0155294,102,3.06488
200,200,3,2,1.5,0.7,0.04622,138,3.93633
200,200,3,2,1.5,0.9,0.0439649,86,4.43782
200,200,3,2,2,0.4,0.0772136,105,3.48939
200,200,3,2,2,0.7,0.0767929,78,4.33429
200,200,3,2,2,0.9,0.0947,101,4.53482
200,200,3,2,2.5,0.4,0.0647863,23,4.08348
200,200,3,2,2.5,0.7,0.0263994,43,4.36817
200,200,3,2,2.5,0.9,0.0817034,159,4.96506
200,200,3,2,3.5,0.4,0.0689433,65,4.53279
200,200,3,2,3.5,0.7,0.164397,86,4.80397
200,200,3,2,3.5,0.9,0.127939,29,4.93765
200,200,3,2.5,1,0.4,0.0342037,134,3.22379
200,200,3,2.5,1,0.7,0.074345,195,4.26251
200,200,3,2.5,1,0.9,0.0256114,99,4.89908
200,200,3,2.5,1.5,0.4,0.045392,24,3.6768
200,200,3,2.5,1.5,0.7,0.074317,181,4.31466
200,200,3,2.5,1.5,0.9,0.13818,199,4.62574
200,200,3,2.5,2,0.4,0.100556,9,4.13522
200,200,3,2.5,2,0.7,0.0971044,96,4.45024
200,200,3,2.5,2,0.9,0.083445,102,4.7503
200,200,3,2.5,2.5,0.4,0.0216868,70,4.22462
200,200,3,2.5,2.5,0.7,0.163197,90,4.75345
200,200,3,2.5,2.5,0.9,0.0980554,72,5.01688
200,200,3,2.5,3.5,0.4,0.403085,3,4.84206
200,200,3,2.5,3.5,0.7,0.287827,7,4.91408
200,200,3,2.5,3.5,0.9,0.227475,68,5.19932
200,200,3,3.5,1,0.4,0.0567724,157,4.08817
200,200,3,3.5,1,0.7,-8.25484e-08,6,4.64851
200,200,3,3.5,1,0.9,0.140389,184,5.1697
200,200,3,3.5,1.5,0.4,0.090963,43,4.39494
200,200,3,3.5,1.5,0.7,0.146373,9,4.77262
200,200,3,3.5,1.5,0.9,0.0672966,71,4.92209
200,200,3,3.5,2,0.4,0.107415,159,4.48037
200,200,3,3.5,2,0.7,0.249365,132,4.81378
200,200,3,3.5,2,0.9,0.247639,79,5.15022
200,200,3,3.5,2.5,0.4,0.0666095,3,4.7921
200,200,3,3.5,2.5,0.7,0.031369,23,5.016
200,200,3,3.5,2.5,0.9,0.202224,19,5.12604
200,200,3,3.5,3.5,0.4,0.413203,21,4.99499
200,200,3,3.5,3.5,0.7,0.200257,72,5.12061
200,200,3,3.5,3.5,0.9,0.415879,149,5.28061
200,200,4,1,1,0.4,0.358764,145,4.08061
200,200,4,1,1,0.7,1.00273,43,5.42951
200,200,4,1,1,0.9,0.918429,108,5.96738
200,200,4,1,1.5,0.4,0.0826832,166,3.26919
200,200,4,1,1.5,0.7,0.189121,164,4.46894
200,200,4,1,1.5,0.9,0.222464,169,5.01585
200,200,4,1,2,0.4,0.0860461,147,3.21253
200,200,4,1,2,0.7,0.152288,174,4.12009
200,200,4,1,2,0.9,0.0912669,44,4.74328
200,200,4,1,2.5,0.4,0.0706716,26,3.32207
200,200,4,1,2.5,0.7,0.270108,136,4.24171
200,200,4,1,2.5,0.9,0.256462,101,4.64503
200,200,4,1,3.5,0.4,0.0583592,49,4.05733
200,200,4,1,3.5,0.7,0.283365,157,4.65269
200,200,4,1,3.5,0.9,0.52136,162,5.00016
200,200,4,1.5,1,0.4,0.119642,146,3.62252
200,200,4,1.5,1,0.7,0.279314,129,4.89453
200,200,4,1.5,1,0.9,0.677849,183,5.55846
200,200,4,1.5,1.5,0.4,0.0997927,44,3.13592
200,200,4,1.5,1.5,0.7,0.0933315,185,4.21367
200,200,4,1.5,1.5,0.9,0.150675,61,4.9533
200,200,4,1.5,2,0.4,0.0327735,69,3.1468
200,200,4,1.5,2,0.7,0.0659118,83,4.17348
200,200,4,1.5,2,0.9,0.166357,157,4.67948
200,200,4,1.5,2.5,0.4,0.103241,111,3.79872
200,200,4,1.5,2.5,0.7,0.140407,125,4.32601
200,200,4,1.5,2.5,0.9,0.222084,61,4.96778
200,200,4,1.5,3.5,0.4,0.358368,187,4.38828
200,200,4,1.5,3.5,0.7,0.375121,67,4.85931
200,200,4,1.5,3.5,0.9,0.673944,131,4.97264
200,200,4,2,1,0.4,0.108203,192,3.35357
200,200,4,2,1,0.7,0.231998,188,4.6106
200,200,4,2,1,0.9,0.152814,23,5.07297
200,200,4,2,1.5,0.4,0.149818,87,3.34783
200,200,4,2,1.5,0.7,0.214668,90,4.19381
200,200,4,2,1.5,0.9,0.243542,75,4.72088
200,200,4,2,2,0.4,0.0758612,199,3.7611
200,200,4,2,2,0.7,0.0905917,99,4.45399
200,200,4,2,2,0.9,0.259433,100,4.80787
200,200,4,2,2.5,0.4,0.0846775,172,4.22563
200,200,4,2,2.5,0.7,0.378811,76,4.48387
200,200,4,2,2.5,0.9,0.348808,137,4.86858
200,200,4,2,3.5,0.4,0.413502,13,4.73944
200,200,4,2,3.5,0.7,0.702779,0,4.85226
200,200,4,2,3.5,0.9,0.656516,24,5.07476
200,200,4,2.5,1,0.4,0.163361,32,3.51551
200,200,4,2.5,1,0.7,0.0889747,170,4.45168
200,200,4,2.5,1,0.9,0.16899,160,4.93152
200,200,4,2.5,1.5,0.4,0.141023,19,3.65777
200,200,4,2.5,1.5,0.7,0.0882102,17,4.49064
200,200,4,2.5,1.5,0.9,0.17223,179,4.85365
200,200,4,2.5,2,0.4,0.3253,117,4.20695
200,200,4,2.5,2,0.7,0.343205,192,4.67447
200,200,4,2.5,2,0.9,0.152962,103,4.97067
200,200,4,2.5,2.5,0.4,0.180407,6,4.47778
200,200,4,2.5,2.5,0.7,0.487228,3,4.96161
200,200,4,2.5,2.5,0.9,0.808727,198,5.02227
200,200,4,2.5,3.5,0.4,0.815643,195,4.82584
200,200,4,2.5,3.5,0.7,0.518571,151,5.16289
200,200,4,2.5,3.5,0.9,0.843928,1,5.24506
200,200,4,3.5,1,0.4,0.140405,75,4.05108
200,200,4,3.5,1,0.7,0.24235,38,4.71377
200,200,4,3.5,1,0.9,0.596179,38,5.1879
200,200,4,3.5,1.5,0.4,0.28848,51,4.37991
200,200,4,3.5,1.5,0.7,0.715031,13,4.81971
200,200,4,3.5,1.5,0.9,0.195236,91,4.97715
200,200,4,3.5,2,0.4,0.202688,109,4.62515
200,200,4,3.5,2,0.7,0.359372,0,5.02326
200,200,4,3.5,2,0.9,0.615154,161,5.06469
200,200,4,3.5,2.5,0.4,0.65498,132,4.8977
200,200,4,3.5,2.5,0.7,0.376599,173,5.17499
200,200,4,3.5,2.5,0.9,0.130272,2,5.21379
200,200,4,3.5,3.5,0.4,0.91763,4,5.05302
200,200,4,3.5,3.5,0.7,1.53284,176,5.09365
200,200,4,3.5,3.5,0.9,0.20883,11,5.27724
